country,cuisines,restaurant_count,percentage,average_rating,total_reviews
Greece,Southern-Italian,81,0.2601657352090962,4.4753086419753085,8344.0
Greece,Southwestern,5,0.01605961328451211,4.3,412.0
Greece,Spanish,61,0.19592728207104773,4.475409836065574,1067.0
Greece,Steakhouse,1613,5.180831245583606,4.340359578425295,37605.0
Greece,Street Food,486,1.560994411254577,4.491769547325103,11478.0
Greece,Sushi,196,0.6295368407528746,4.165816326530612,12319.0
Greece,Swedish,6,0.01927153594141453,4.5,63.0
Greece,Swiss,7,0.022483458598316953,4.428571428571429,130.0
Greece,Taiwanese,2,0.006423845313804843,4.25,48.0
Greece,Thai,73,0.23447035395387678,4.287671232876712,4819.0
Greece,Tibetan,1,0.0032119226569024216,4.5,1.0
Greece,Turkish,92,0.2954968844350228,4.467391304347826,3182.0
Greece,Tuscan,5,0.01605961328451211,4.3,318.0
Greece,Ukrainian,2,0.006423845313804843,4.5,17.0
Greece,Vietnamese,13,0.041754994539731485,4.115384615384615,415.0
Greece,Welsh,2,0.006423845313804843,4.75,237.0
Greece,Wine Bar,1026,3.295432645981885,4.4488304093567255,27591.0
Greece,Yunnan,4,0.012847690627609687,3.5,90.0
Hungary,American,38,8.695652173913043,3.710526315789474,1018.0
Hungary,Arabic,1,0.2288329519450801,3.0,1.0
Hungary,Asian,29,6.636155606407322,4.120689655172414,1543.0
Hungary,Bar,31,7.093821510297483,4.016129032258065,2446.0
Hungary,Barbecue,5,1.1441647597254003,4.4,630.0
Hungary,Belgian,1,0.2288329519450801,4.5,32.0
Hungary,Brew Pub,2,0.4576659038901602,4.75,128.0
Hungary,Cafe,78,17.84897025171625,4.1923076923076925,2934.0
Hungary,Campania,2,0.4576659038901602,4.5,194.0
Hungary,Central Asian,1,0.2288329519450801,4.0,573.0
Hungary,Central European,48,10.983981693363845,4.0625,4270.0
Hungary,Central-Italian,4,0.9153318077803204,4.25,1068.0
Hungary,Chinese,11,2.517162471395881,4.045454545454546,355.0
Hungary,Contemporary,4,0.9153318077803204,4.125,1734.0
Hungary,Czech,2,0.4576659038901602,3.75,9.0
Hungary,Deli,2,0.4576659038901602,4.75,60.0
